Brand,Horsepower in kW,Urban consumption in l/100km,Rural consumption in l/100km,Mixed consumption in l/100km,CO2 in g/km,Weight in kg
PSA GROUP,147.0,11.3,5.8,7.8,182.0,1505
PSA GROUP,125.0,6.6,4.3,5.1,136.0,1565
PSA GROUP,100.0,6.6,4.2,5.1,134.0,1565
PSA GROUP,100.0,6.6,4.2,5.1,134.0,1565
PSA GROUP,125.0,6.9,4.3,5.3,139.0,1565
PSA GROUP,125.0,6.9,4.3,5.3,139.0,1565
PSA GROUP,147.0,11.5,6.0,8.0,186.0,1555
PSA GROUP,125.0,6.7,4.4,5.2,139.0,1615
PSA GROUP,100.0,6.8,4.3,5.2,137.0,1615
PSA GROUP,100.0,6.8,4.3,5.2,137.0,1615
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1615
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1615
PSA GROUP,177.0,9.8,5.0,6.8,157.0,995
PSA GROUP,331.0,24.4,11.6,16.3,379.0,1750
PSA GROUP,331.0,24.4,11.6,16.3,379.0,1750
PSA GROUP,147.0,11.8,6.0,8.1,189.0,1505
PSA GROUP,147.0,11.8,6.0,8.1,189.0,1505
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,120.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,120.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.4,4.2,5.0,117.0,1380
PSA GROUP,125.0,6.4,4.2,5.0,117.0,1380
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,172.5,10.8,5.8,7.6,177.0,1395
PSA GROUP,172.5,10.8,5.8,7.6,177.0,1395
PSA GROUP,77.0,5.5,3.7,4.4,114.0,1385
PSA GROUP,77.0,5.5,3.7,4.4,114.0,1385
PSA GROUP,77.0,5.5,3.7,4.4,114.0,1385
PSA GROUP,77.0,5.5,3.7,4.4,114.0,1385
PSA GROUP,77.0,5.4,3.6,4.3,112.0,1385
PSA GROUP,77.0,5.4,3.6,4.3,112.0,1385
PSA GROUP,77.0,5.0,3.4,4.0,104.0,1385
PSA GROUP,77.0,5.0,3.4,4.0,104.0,1385
PSA GROUP,125.0,5.3,4.0,4.5,119.0,1410
PSA GROUP,125.0,5.3,4.0,4.5,119.0,1410
PSA GROUP,125.0,5.8,4.1,4.7,124.0,1395
PSA GROUP,125.0,5.8,4.1,4.7,124.0,1395
PSA GROUP,125.0,5.8,4.1,4.7,124.0,1395
PSA GROUP,85.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,85.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,120.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,120.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,120.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,120.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,120.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,120.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,120.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,120.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,120.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,120.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,120.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,120.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,120.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,120.0,7.6,4.6,5.7,131.0,1365
PSA GROUP,120.0,5.3,4.0,4.5,119.0,1410
PSA GROUP,120.0,5.3,4.0,4.5,119.0,1410
PSA GROUP,120.0,5.8,4.1,4.7,124.0,1395
PSA GROUP,120.0,5.8,4.1,4.7,124.0,1395
PSA GROUP,103.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,103.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,103.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,103.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,100.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,100.0,5.6,3.9,4.5,119.0,1395
PSA GROUP,77.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,77.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,77.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,77.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,110.0,5.0,3.7,4.2,110.0,1395
PSA GROUP,110.0,5.0,3.7,4.2,110.0,1395
PSA GROUP,177.0,9.8,5.3,7.0,162.0,1395
PSA GROUP,100.0,5.0,3.7,4.2,110.0,1395
PSA GROUP,100.0,5.0,3.7,4.2,110.0,1395
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1392
PSA GROUP,88.0,10.9,6.8,8.3,134.0,1392
PSA GROUP,88.0,8.3,5.3,6.4,148.0,1392
PSA GROUP,88.0,10.9,6.8,8.3,134.0,1392
PSA GROUP,77.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,77.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,77.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,77.0,8.3,5.3,6.4,148.0,1355
PSA GROUP,128.5,5.2,3.9,4.4,116.0,1410
PSA GROUP,128.5,5.2,3.9,4.4,116.0,1410
PSA GROUP,88.0,5.3,3.8,4.4,114.0,1280
PSA GROUP,88.0,5.3,3.8,4.4,114.0,1280
PSA GROUP,88.0,5.2,3.7,4.3,112.0,1280
PSA GROUP,88.0,5.2,3.7,4.3,112.0,1280
PSA GROUP,85.0,5.3,3.8,4.4,114.0,1280
PSA GROUP,85.0,5.3,3.8,4.4,114.0,1280
PSA GROUP,85.0,5.2,3.7,4.3,112.0,1280
PSA GROUP,85.0,5.2,3.7,4.3,112.0,1280
PSA GROUP,88.0,8.2,5.1,6.2,145.0,1220
PSA GROUP,88.0,10.6,6.6,8.1,131.0,1220
PSA GROUP,88.0,8.2,5.1,6.2,145.0,1220
PSA GROUP,88.0,10.6,6.6,8.1,131.0,1220
PSA GROUP,77.0,7.6,4.8,5.8,136.0,1185
PSA GROUP,77.0,7.5,4.7,5.7,134.0,1165
PSA GROUP,77.0,7.5,4.7,5.7,134.0,1165
PSA GROUP,99.0,7.4,4.5,5.6,129.0,1210
PSA GROUP,99.0,7.4,4.5,5.6,129.0,1210
PSA GROUP,125.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,125.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,125.0,8.1,4.8,6.0,139.0,1220
PSA GROUP,125.0,8.1,4.8,6.0,139.0,1220
PSA GROUP,70.0,5.1,3.3,4.0,104.0,1225
PSA GROUP,70.0,5.1,3.3,4.0,104.0,1225
PSA GROUP,99.0,7.1,4.5,5.5,126.0,1245
PSA GROUP,99.0,7.1,4.5,5.5,126.0,1245
PSA GROUP,120.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,120.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,62.0,4.6,3.0,3.6,95.0,1225
PSA GROUP,62.0,4.6,3.0,3.6,95.0,1225
PSA GROUP,62.0,4.6,3.0,3.6,95.0,1225
PSA GROUP,62.0,4.6,3.0,3.6,95.0,1225
PSA GROUP,62.0,4.4,2.9,3.5,90.0,1225
PSA GROUP,62.0,4.4,2.9,3.5,90.0,1225
PSA GROUP,62.0,4.4,2.9,3.5,90.0,1225
PSA GROUP,62.0,4.4,2.9,3.5,90.0,1225
PSA GROUP,62.0,4.3,2.8,3.4,88.0,1225
PSA GROUP,62.0,4.3,2.8,3.4,88.0,1225
PSA GROUP,57.0,7.3,4.6,5.6,130.0,1155
PSA GROUP,57.0,7.3,4.6,5.6,130.0,1155
PSA GROUP,57.0,7.3,4.6,5.6,130.0,1155
PSA GROUP,57.0,7.3,4.6,5.6,130.0,1155
PSA GROUP,51.0,7.6,4.7,5.8,134.0,1155
PSA GROUP,51.0,7.6,4.7,5.8,134.0,1155
PSA GROUP,51.0,7.6,4.7,5.8,134.0,1155
PSA GROUP,51.0,7.6,4.7,5.8,134.0,1155
PSA GROUP,62.5,4.9,3.8,4.2,98.0,1205
PSA GROUP,62.5,4.9,3.8,4.2,98.0,1205
PSA GROUP,77.0,5.0,3.8,4.2,99.0,1205
PSA GROUP,77.0,5.0,3.8,4.2,99.0,1205
PSA GROUP,73.5,5.0,3.8,4.2,88.0,1205
PSA GROUP,73.5,5.0,3.8,4.2,88.0,1205
PSA GROUP,59.0,4.3,2.8,3.4,85.0,1225
PSA GROUP,59.0,4.3,2.8,3.4,85.0,1225
PSA GROUP,103.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,103.0,7.0,5.4,4.4,124.0,1245
PSA GROUP,147.0,11.9,6.1,8.2,192.0,1565
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1615
PSA GROUP,120.0,7.1,4.4,5.4,142.0,1615
VW GROUP,70.0,5.4,3.8,4.4,102.0,1140
VW GROUP,70.0,5.5,3.9,4.5,103.0,1140
VW GROUP,70.0,5.6,4.0,4.6,107.0,1140
VW GROUP,70.0,5.0,3.7,4.2,97.0,1110
VW GROUP,70.0,5.1,3.8,4.3,98.0,1110
VW GROUP,70.0,5.2,3.9,4.4,102.0,1110
VW GROUP,66.0,4.0,3.3,3.6,94.0,1195
VW GROUP,66.0,4.1,3.4,3.7,96.0,1195
VW GROUP,66.0,4.2,3.6,3.8,99.0,1195
VW GROUP,66.0,3.9,3.1,3.4,89.0,1165
VW GROUP,66.0,3.9,3.1,3.4,90.0,1165
VW GROUP,66.0,4.0,3.3,3.5,94.0,1165
VW GROUP,170.0,9.2,5.9,7.1,166.0,1390
VW GROUP,85.0,4.3,3.4,3.7,97.0,1250
VW GROUP,85.0,4.3,3.4,3.7,98.0,1250
VW GROUP,85.0,4.5,3.6,3.9,103.0,1250
VW GROUP,85.0,4.3,3.1,3.5,92.0,1225
VW GROUP,85.0,4.3,3.1,3.5,93.0,1225
VW GROUP,85.0,4.4,3.3,3.7,97.0,1225
VW GROUP,92.0,6.2,4.2,4.9,112.0,1190
VW GROUP,92.0,6.2,4.3,5.0,113.0,1190
VW GROUP,92.0,6.3,4.4,5.1,117.0,1190
VW GROUP,92.0,6.4,4.1,4.9,115.0,1155
VW GROUP,92.0,6.5,4.1,5.0,117.0,1155
VW GROUP,92.0,6.6,4.3,5.1,120.0,1155
VW GROUP,110.0,5.8,4.1,4.7,109.0,1205
VW GROUP,110.0,5.9,4.2,4.8,111.0,1205
VW GROUP,110.0,6.1,4.4,5.0,116.0,1205
VW GROUP,110.0,5.9,4.0,4.7,109.0,1195
VW GROUP,110.0,6.0,4.1,4.8,112.0,1195
VW GROUP,110.0,6.1,4.3,5.0,117.0,1195
VW GROUP,141.0,7.1,4.7,5.6,129.0,1255
VW GROUP,141.0,7.2,4.7,5.6,130.0,1255
VW GROUP,141.0,7.4,4.9,5.8,134.0,1255
VW GROUP,70.0,5.4,3.8,4.4,102.0,1165
VW GROUP,70.0,5.5,3.9,4.5,103.0,1165
VW GROUP,70.0,5.6,4.0,4.6,107.0,1165
VW GROUP,70.0,5.0,3.7,4.2,97.0,1135
VW GROUP,70.0,5.1,3.8,4.3,98.0,1135
VW GROUP,70.0,5.2,3.9,4.4,102.0,1135
VW GROUP,66.0,4.0,3.3,3.6,94.0,1220
VW GROUP,66.0,4.1,3.4,3.7,96.0,1220
VW GROUP,66.0,4.2,3.6,3.8,99.0,1220
VW GROUP,66.0,3.9,3.1,3.4,91.0,1195
VW GROUP,66.0,4.0,3.2,3.5,91.0,1195
VW GROUP,66.0,4.0,3.3,3.6,95.0,1195
VW GROUP,170.0,9.3,6.0,7.2,168.0,1415
VW GROUP,85.0,4.3,3.4,3.7,97.0,1275
VW GROUP,85.0,4.3,3.4,3.7,98.0,1275
VW GROUP,85.0,4.5,3.6,3.9,103.0,1275
VW GROUP,85.0,4.3,3.1,3.5,92.0,1250
VW GROUP,85.0,4.3,3.1,3.5,93.0,1250
VW GROUP,85.0,4.4,3.3,3.7,97.0,1250
VW GROUP,92.0,6.2,4.2,4.9,112.0,1215
VW GROUP,92.0,6.2,4.3,5.0,113.0,1215
VW GROUP,92.0,6.3,4.4,5.1,117.0,1215
VW GROUP,92.0,6.6,4.2,5.1,118.0,1180
VW GROUP,92.0,6.6,4.2,5.1,119.0,1180
VW GROUP,92.0,6.7,4.4,5.2,123.0,1180
VW GROUP,110.0,5.8,4.1,4.7,109.0,1230
VW GROUP,110.0,5.9,4.2,4.8,111.0,1230
VW GROUP,110.0,6.1,4.4,5.0,116.0,1230
VW GROUP,110.0,5.9,4.0,4.7,109.0,1220
VW GROUP,110.0,6.0,4.1,4.8,112.0,1220
VW GROUP,110.0,6.1,4.3,5.0,117.0,1220
VW GROUP,141.0,7.1,4.7,5.6,129.0,1280
VW GROUP,141.0,7.2,4.7,5.6,130.0,1280
VW GROUP,141.0,7.4,4.9,5.8,134.0,1280
VW GROUP,132.0,7.0,4.8,5.6,129.0,1325
VW GROUP,132.0,7.4,4.9,5.8,135.0,1305
VW GROUP,132.0,8.2,5.5,6.5,149.0,1415
VW GROUP,221.0,8.8,5.9,6.9,159.0,1500
VW GROUP,221.0,9.1,5.8,7.0,162.0,1480
VW GROUP,81.0,4.4,3.6,3.9,102.0,1325
VW GROUP,81.0,4.5,3.4,3.8,99.0,1305
VW GROUP,81.0,3.8,3.0,3.2,85.0,1280
VW GROUP,110.0,5.2,4.0,4.4,116.0,1370
VW GROUP,110.0,5.0,3.6,4.1,106.0,1350
VW GROUP,110.0,5.6,4.1,4.7,122.0,1430
VW GROUP,135.0,5.2,3.6,4.1,108.0,1360
VW GROUP,135.0,5.4,4.3,4.7,124.0,1465
VW GROUP,81.0,5.9,4.1,4.8,110.0,1245
VW GROUP,81.0,6.2,4.2,4.9,114.0,1225
VW GROUP,92.0,6.1,4.2,4.9,114.0,1270
VW GROUP,92.0,6.7,4.1,5.1,117.0,1250
VW GROUP,110.0,5.8,4.1,4.7,109.0,1280
VW GROUP,110.0,5.8,4.1,4.7,109.0,1270
VW GROUP,132.0,7.3,4.8,5.8,133.0,1505
VW GROUP,132.0,7.8,5.0,6.0,140.0,1480
VW GROUP,132.0,8.4,5.6,6.6,154.0,1615
VW GROUP,221.0,9.0,6.0,7.1,165.0,1695
VW GROUP,81.0,4.7,3.5,3.9,104.0,1495
VW GROUP,110.0,5.4,4.2,4.6,120.0,1555
VW GROUP,110.0,5.1,3.7,4.2,110.0,1535
VW GROUP,110.0,5.8,4.2,4.8,125.0,1615
VW GROUP,135.0,5.2,3.8,4.3,114.0,1545
VW GROUP,135.0,5.7,4.5,4.9,129.0,1665
VW GROUP,92.0,6.3,4.4,5.1,117.0,1440
VW GROUP,92.0,7.0,4.4,5.3,124.0,1420
VW GROUP,110.0,6.0,4.3,4.9,114.0,1455
VW GROUP,110.0,6.0,4.3,4.9,114.0,1440
VW GROUP,132.0,7.0,4.8,5.6,129.0,1370
VW GROUP,132.0,7.4,4.9,5.8,135.0,1345
VW GROUP,132.0,8.2,5.5,6.5,149.0,1455
VW GROUP,221.0,8.8,5.9,6.9,159.0,1535
VW GROUP,221.0,9.1,5.8,7.0,162.0,1505
VW GROUP,81.0,4.4,3.6,3.9,102.0,1365
VW GROUP,81.0,4.5,3.4,3.8,99.0,1345
VW GROUP,81.0,3.9,3.1,3.3,88.0,1330
VW GROUP,110.0,5.2,4.0,4.4,115.0,1395
VW GROUP,110.0,4.9,3.5,4.0,105.0,1390
VW GROUP,110.0,5.6,4.1,4.7,122.0,1470
VW GROUP,135.0,5.0,3.6,4.1,109.0,1395
VW GROUP,135.0,5.4,4.3,4.7,124.0,1505
VW GROUP,92.0,6.1,4.2,4.9,114.0,1310
VW GROUP,92.0,6.7,4.1,5.1,117.0,1280
VW GROUP,110.0,5.8,4.1,4.7,109.0,1325
VW GROUP,110.0,5.8,4.1,4.7,109.0,1315
VW GROUP,132.0,7.0,4.8,5.6,129.0,1355
VW GROUP,132.0,7.4,4.9,5.8,135.0,1335
VW GROUP,132.0,8.2,5.5,6.5,149.0,1445
VW GROUP,221.0,8.8,5.9,6.9,159.0,1530
VW GROUP,221.0,9.1,5.8,7.0,162.0,1505
VW GROUP,81.0,4.4,3.6,3.9,102.0,1355
VW GROUP,81.0,4.5,3.4,3.8,99.0,1335
VW GROUP,81.0,3.9,3.1,3.3,88.0,1315
VW GROUP,110.0,5.2,4.0,4.4,116.0,1395
VW GROUP,110.0,5.0,3.6,4.1,106.0,1380
VW GROUP,110.0,5.6,4.1,4.7,122.0,1460
VW GROUP,110.0,7.1,5.2,1.5,35.0,1615
VW GROUP,110.0,7.1,5.2,1.6,37.0,1615
VW GROUP,110.0,7.1,5.2,1.7,39.0,1615
VW GROUP,135.0,5.0,3.7,4.2,110.0,1390
VW GROUP,135.0,5.4,4.3,4.7,124.0,1495
VW GROUP,81.0,5.9,4.1,4.8,110.0,1275
VW GROUP,81.0,6.2,4.2,4.9,114.0,1255
VW GROUP,92.0,6.1,4.3,4.9,114.0,1300
VW GROUP,92.0,6.7,4.1,5.1,117.0,1280
VW GROUP,110.0,5.8,4.1,4.7,109.0,1310
VW GROUP,110.0,5.8,4.1,4.7,109.0,1300
VW GROUP,270.0,11.2,6.3,8.1,189.0,1595
VW GROUP,270.0,11.4,6.5,8.3,194.0,1595
VW GROUP,125.0,7.0,5.4,6.0,139.0,1605
VW GROUP,125.0,7.7,5.2,6.1,141.0,1565
VW GROUP,125.0,8.1,5.5,6.5,149.0,1635
VW GROUP,180.0,6.9,5.2,5.9,154.0,1855
VW GROUP,165.0,7.4,5.2,6.0,140.0,1615
VW GROUP,165.0,8.0,5.1,6.1,143.0,1580
VW GROUP,165.0,8.6,5.9,6.9,159.0,1685
VW GROUP,165.0,8.8,5.5,6.7,154.0,1650
VW GROUP,140.0,5.4,4.3,4.7,124.0,1705
VW GROUP,140.0,5.6,4.2,4.7,123.0,1670
VW GROUP,140.0,6.1,4.7,5.2,137.0,1775
VW GROUP,140.0,6.0,4.5,5.1,132.0,1730
VW GROUP,120.0,5.1,4.0,4.4,114.0,1675
VW GROUP,245.0,10.1,6.4,7.8,180.0,1825
VW GROUP,200.0,10.1,6.4,7.8,179.0,1790
VW GROUP,110.0,5.4,4.3,4.7,124.0,1705
VW GROUP,110.0,5.4,4.1,4.6,119.0,1670
VW GROUP,110.0,5.7,4.3,4.8,127.0,1730
VW GROUP,100.0,4.9,3.8,4.2,109.0,1680
VW GROUP,180.0,7.1,5.4,6.0,159.0,1865
VW GROUP,165.0,8.6,6.1,7.1,164.0,1725
VW GROUP,165.0,9.0,5.9,7.0,164.0,1685
VW GROUP,140.0,6.5,5.1,5.6,149.0,1805
VW GROUP,140.0,6.5,5.0,5.6,145.0,1765
VW GROUP,110.0,6.3,4.8,5.4,139.0,1765
VW GROUP,125.0,6.9,5.1,5.8,134.0,1545
VW GROUP,125.0,7.4,4.8,5.7,134.0,1505
VW GROUP,125.0,8.1,5.2,6.2,144.0,1580
VW GROUP,180.0,6.8,5.0,5.7,149.0,1805
VW GROUP,165.0,7.4,5.0,5.8,136.0,1560
VW GROUP,165.0,7.8,4.8,5.9,138.0,1525
VW GROUP,165.0,8.5,5.6,6.7,155.0,1645
VW GROUP,165.0,8.8,5.3,6.6,152.0,1605
VW GROUP,140.0,5.3,4.1,4.5,119.0,1650
VW GROUP,140.0,5.4,3.9,4.5,117.0,1615
VW GROUP,140.0,5.9,4.5,5.0,132.0,1730
VW GROUP,140.0,5.9,4.4,4.9,128.0,1690
VW GROUP,120.0,5.0,3.8,4.2,109.0,1615
VW GROUP,245.0,10.1,6.2,7.7,178.0,1780
VW GROUP,200.0,9.9,6.1,7.5,174.0,1735
VW GROUP,110.0,5.3,4.1,4.6,119.0,1650
VW GROUP,110.0,5.3,3.8,4.4,114.0,1615
VW GROUP,110.0,5.6,4.2,4.7,124.0,1690
VW GROUP,100.0,4.8,3.5,4.0,104.0,1615
VW GROUP,125.0,6.9,5.1,5.8,134.0,1530
VW GROUP,125.0,7.4,4.8,5.7,134.0,1500
VW GROUP,180.0,6.8,5.0,5.7,149.0,1770
VW GROUP,165.0,7.4,5.0,5.8,136.0,1550
VW GROUP,165.0,7.7,4.8,5.9,138.0,1505
VW GROUP,165.0,8.5,5.6,6.7,155.0,1615
VW GROUP,165.0,8.8,5.3,6.6,152.0,1585
VW GROUP,140.0,5.3,4.1,4.5,119.0,1635
VW GROUP,140.0,5.4,3.9,4.5,117.0,1600
VW GROUP,140.0,5.9,4.5,5.0,132.0,1705
VW GROUP,140.0,5.9,4.4,4.9,128.0,1665
VW GROUP,120.0,5.0,3.8,4.2,109.0,1605
VW GROUP,245.0,10.1,6.2,7.7,178.0,1750
VW GROUP,125.0,7.2,5.6,6.2,143.0,1730
VW GROUP,125.0,7.9,5.1,6.2,143.0,1695
VW GROUP,165.0,7.6,5.3,6.2,145.0,1735
VW GROUP,165.0,8.1,5.2,6.3,148.0,1705
VW GROUP,165.0,8.6,5.9,6.9,159.0,1810
VW GROUP,140.0,5.5,4.3,4.7,124.0,1820
VW GROUP,140.0,5.7,4.3,4.8,125.0,1785
VW GROUP,140.0,6.0,4.6,5.1,134.0,1850
VW GROUP,245.0,10.3,6.5,7.9,184.0,1955
VW GROUP,200.0,10.2,6.5,7.8,181.0,1925
VW GROUP,110.0,5.6,4.2,4.7,123.0,1785
VW GROUP,125.0,7.0,5.2,5.9,136.0,1600
VW GROUP,125.0,7.5,4.9,5.8,136.0,1565
VW GROUP,180.0,6.8,5.0,5.7,149.0,1825
VW GROUP,165.0,7.5,5.1,6.0,139.0,1605
VW GROUP,165.0,7.8,4.8,5.9,138.0,1575
VW GROUP,165.0,8.5,5.6,6.7,155.0,1690
VW GROUP,165.0,8.8,5.3,6.6,152.0,1645
VW GROUP,140.0,5.4,4.1,4.5,119.0,1680
VW GROUP,140.0,5.5,4.0,4.6,119.0,1655
VW GROUP,140.0,6.1,4.6,5.1,135.0,1760
VW GROUP,140.0,5.9,4.4,4.9,128.0,1725
VW GROUP,120.0,5.0,3.8,4.3,111.0,1660
VW GROUP,245.0,10.2,6.3,7.7,179.0,1820
VW GROUP,200.0,10.1,6.2,7.7,178.0,1790
VW GROUP,110.0,5.3,4.1,4.6,119.0,1680
VW GROUP,110.0,5.4,3.9,4.5,118.0,1655
VW GROUP,100.0,4.9,3.7,4.2,109.0,1655
VW GROUP,140.0,4.9,4.1,4.4,115.0,1800
VW GROUP,140.0,5.3,4.1,4.6,118.0,1800
VW GROUP,140.0,4.9,4.1,4.4,114.0,1800
VW GROUP,140.0,4.9,4.1,4.4,115.0,1800
VW GROUP,140.0,5.0,4.2,4.5,118.0,1800
VW GROUP,140.0,5.1,4.3,4.6,121.0,1800
VW GROUP,140.0,5.4,4.0,4.6,119.0,1765
VW GROUP,140.0,5.5,4.2,4.7,124.0,1765
VW GROUP,245.0,9.9,6.2,7.6,177.0,1890
VW GROUP,245.0,10.0,6.3,7.7,179.0,1890
VW GROUP,245.0,10.1,6.5,7.8,182.0,1890
VW GROUP,200.0,6.0,4.8,5.3,138.0,1910
VW GROUP,200.0,6.1,4.9,5.3,140.0,1910
VW GROUP,200.0,6.2,5.0,5.4,144.0,1910
VW GROUP,160.0,6.0,4.8,5.3,138.0,1905
VW GROUP,160.0,6.1,4.9,5.3,140.0,1905
VW GROUP,160.0,6.2,5.0,5.4,144.0,1905
VW GROUP,160.0,5.5,4.4,4.8,125.0,1835
VW GROUP,160.0,5.5,4.5,4.9,127.0,1835
VW GROUP,160.0,5.6,4.6,5.0,130.0,1835
VW GROUP,331.0,13.4,7.1,9.4,219.0,2035
VW GROUP,331.0,13.5,7.3,9.6,224.0,2035
VW GROUP,235.0,7.5,5.5,6.2,164.0,1975
VW GROUP,235.0,7.6,5.6,6.3,166.0,1975
VW GROUP,235.0,7.7,5.7,6.4,169.0,1975
VW GROUP,240.0,7.7,5.7,6.4,169.0,2005
VW GROUP,412.0,13.4,7.4,9.6,223.0,2025
VW GROUP,140.0,7.1,5.1,5.9,137.0,1710
VW GROUP,140.0,7.1,5.2,5.9,139.0,1710
VW GROUP,140.0,7.2,5.3,6.0,142.0,1710
VW GROUP,140.0,7.8,5.3,6.2,144.0,1675
VW GROUP,140.0,7.8,5.3,6.2,146.0,1675
VW GROUP,140.0,7.9,5.5,6.4,149.0,1675
VW GROUP,185.0,7.4,5.2,6.0,140.0,1735
VW GROUP,185.0,7.4,5.3,6.1,143.0,1735
VW GROUP,185.0,7.5,5.4,6.2,146.0,1735
VW GROUP,245.0,10.1,6.7,8.0,185.0,1945
VW GROUP,200.0,6.4,5.2,5.6,149.0,1970
VW GROUP,155.0,6.4,5.2,5.6,149.0,1965
VW GROUP,235.0,7.7,5.8,6.5,172.0,2030
VW GROUP,140.0,4.7,3.9,4.2,110.0,1735
VW GROUP,140.0,4.7,3.9,4.2,109.0,1735
VW GROUP,140.0,4.7,3.9,4.2,110.0,1735
VW GROUP,140.0,4.8,4.0,4.3,113.0,1735
VW GROUP,140.0,4.9,4.1,4.4,116.0,1735
VW GROUP,140.0,5.1,3.8,4.3,113.0,1700
VW GROUP,140.0,5.2,3.9,4.4,114.0,1700
VW GROUP,140.0,5.2,3.9,4.4,116.0,1700
